Poolsize;Teamsize;Alpha;Beta;ES_Comp;ES_Work;Greedy_Comp;Greedy_Work;Es_Time;Greedy_time
100;3;0;1;0,8413;0,4136;0,8413;0,4136;62,6497;0,130721
100;3;0,1;0,9;0,8413;0,4136;0,8371;0,4136;41,0968;0,05148
100;3;0,2;0,8;0,8413;0,4136;0,8359;0,4085;31,2623;0,066005
100;3;0,3;0,7;0,8025;0,2941;0,8025;0,2941;31,465;0,076603
100;3;0,4;0,6;0,7475;0,2025;0,7056;0,1553;32,955;0,062375
100;3;0,5;0,5;0,6678;0,1107;0,6678;0,1107;33,225;0,062027
100;3;0,6;0,4;0,6678;0,1107;0,6678;0,1107;30,6093;0,06282
100;3;0,7;0,3;0,6678;0,1107;0,6678;0,1107;20,0241;0,065323
100;3;0,8;0,2;0,6678;0,1107;0,6678;0,1107;29,395;0,046055
100;3;0,9;0,1;0,6678;0,1107;0,6678;0,1107;25,3164;0,052064
100;3;1;0;0,6678;0,1107;0,6678;0,1107;19,3219;0,048002
80;5;0;1;0,8347;0,4359;0,8347;0,4359;4158,5638;0,076628
80;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;4253,8843;0,065371
80;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;4019,5537;0,058166
80;5;0,3;0,7;0,7827;0,2941;0,7827;0,2941;4248,6746;0,06098
80;5;0,4;0,6;0,7369;0,2025;0,7054;0,1884;11964,4274;0,195277
80;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;10552,7373;0,054255
80;5;0,6;0,4;0,7233;0,1933;0,6712;0,1636;7734,9284;0,088971
80;5;0,7;0,3;0,6712;0,1636;0,6712;0,1636;12041,2321;0,189193
80;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;8835,4232;0,057762
80;5;0,9;0,1;0,6712;0,1636;0,6712;0,1636;4429,1182;0,055112
80;5;1;0;0,6712;0,1636;0,6712;0,1636;4305,5159;0,068723
100;5;0;1;0,8347;0,4359;0,8347;0,4359;13357,0544;0,08065
100;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;18455,6663;0,122876
100;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;13874,9645;0,112069
100;5;0,3;0,7;0,7827;0,2941;0,7827;0,2941;13391,2782;0,074936
100;5;0,4;0,6;0,7369;0,2025;0,7054;0,1884;13497,1281;0,119396
100;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;13537,689;0,081761
100;5;0,6;0,4;0,7233;0,1933;0,6712;0,1636;14028,4633;0,083488
100;5;0,7;0,3;0,6712;0,1636;0,6712;0,1636;13861,7808;0,089991
100;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;13101,3718;0,082232
100;5;0,9;0,1;0,6712;0,1636;0,6712;0,1636;13432,2372;0,077814
100;5;1;0;0,6712;0,1636;0,6712;0,1636;13683,7006;0,070084
