Poolsize;Teamsize;Alpha;Beta;ES_Comp;ES_Work;Greedy_Comp;Greedy_Work;Es_Time;Greedy_time;Greedy_score;Es_Score;Approx
100;3;0;1;0,8413;0,4136;0,8413;0,4136;34,6679;0,096643;0,841347;0,841347;1
100;3;0,1;0,9;0,8413;0,4136;0,8371;0,4136;26,2818;0,043346;0,712028;0,715852;0,994658
100;3;0,2;0,8;0,8413;0,4136;0,8359;0,4085;27,0797;0,046501;0,586997;0,590357;0,994308
100;3;0,3;0,7;0,8025;0,2941;0,8025;0,2941;27,274;0,048929;0,473552;0,473552;1
100;3;0,4;0,6;0,7475;0,2025;0,7056;0,1553;19,0798;0,054269;0,361253;0,367497;0,983008
100;3;0,5;0,5;0,6678;0,1107;0,6678;0,1107;25,1194;0,043196;0,278572;0,278572;1
100;3;0,6;0,4;0,6678;0,1107;0,6678;0,1107;17,8618;0,043758;0,200717;0,200717;1
100;3;0,7;0,3;0,6678;0,1107;0,6678;0,1107;17,3371;0,038696;0,122863;0,122863;1
100;3;0,8;0,2;0,6678;0,1107;0,6678;0,1107;21,6749;0,036325;0,045009;0,045009;1
100;3;0,9;0,1;0,6678;0,1107;0,6678;0,1107;19,2507;0,041905;-0,032846;-0,032846;1
100;3;1;0;0,6678;0,1107;0,6678;0,1107;16,6392;0,033625;-0,1107;-0,1107;1
80;5;0;1;0,8347;0,4359;0,8347;0,4359;3103,8367;0,053446;0,834721;0,834721;1
80;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;3031,3581;0,049748;0,707659;0,707659;1
80;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;3053,3872;0,046142;0,580597;0,580597;1
80;5;0,3;0,7;0,7827;0,2941;0,7827;0,2941;3071,6768;0,045859;0,45963;0,45963;1
80;5;0,4;0,6;0,7369;0,2025;0,7054;0,1884;3026,6251;0,046691;0,347896;0,361144;0,963318
80;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;3050,6716;0,043964;0,253812;0,267203;0,949884
80;5;0,6;0,4;0,7233;0,1933;0,6712;0,1636;3043,9113;0,047839;0,17033;0,173347;0,982593
80;5;0,7;0,3;0,6712;0,1636;0,6712;0,1636;3024,0469;0,043718;0,086847;0,086847;1
80;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;2996,7895;0,044242;0,003365;0,003365;1
80;5;0,9;0,1;0,6712;0,1636;0,6712;0,1636;3044,606;0,048062;-0,080118;-0,080118;1
80;5;1;0;0,6712;0,1636;0,6712;0,1636;3054,0867;0,047621;-0,1636;-0,1636;1
100;5;0;1;0,8347;0,4359;0,8347;0,4359;9393,203;0,064834;0,834721;0,834721;1
100;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;9486,4223;0,070246;0,707659;0,707659;1
100;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;10206,7267;0,064181;0,580597;0,580597;1
100;5;0,3;0,7;0,7827;0,2941;0,7827;0,2941;9528,6735;0,068221;0,45963;0,45963;1
100;5;0,4;0,6;0,7369;0,2025;0,7054;0,1884;9329,2375;0,056713;0,347896;0,361144;0,963318
100;5;0,5;0,5;0,7369;0,2025;0,6712;0,1636;9360,9028;0,059857;0,253812;0,267203;0,949884
100;5;0,6;0,4;0,7233;0,1933;0,6712;0,1636;9319,873;0,064162;0,17033;0,173347;0,982593
100;5;0,7;0,3;0,6712;0,1636;0,6712;0,1636;9320,5269;0,067504;0,086847;0,086847;1
100;5;0,8;0,2;0,6712;0,1636;0,6712;0,1636;9370,0384;0,054924;0,003365;0,003365;1
100;5;0,9;0,1;0,6712;0,1636;0,6712;0,1636;9318,3021;0,078265;-0,080118;-0,080118;1
100;5;1;0;0,6712;0,1636;0,6712;0,1636;9198,6882;0,059236;-0,1636;-0,1636;1
120;5;0;1;0,8347;0,4359;0,8347;0,4359;23746,91;0,077592;0,834721;0,834721;1
120;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;23455,081;0,0726;0,707659;0,707659;1
120;5;0,2;0,8;0,8308;0,4136;0,8108;0,3367;23274,8791;0,070204;0,581331;0,581881;0,999055
120;5;0,3;0,7;0,7903;0,2776;0,7903;0,2776;23531,2212;0,070707;0,46992;0,46992;1
120;5;0,4;0,6;0,7568;0,2101;0,6838;0,1553;132587,3475;0,29616;0,348141;0,370015;0,940882
120;5;0,5;0,5;0,7568;0,2101;0,6838;0,1553;31247,5612;0,083497;0,264234;0,27333;0,966723
120;5;0,6;0,4;0,7079;0,1635;0,6838;0,1553;23749,8212;0,071748;0,180327;0,185068;0,974385
120;5;0,7;0,3;0,7079;0,1635;0,6838;0,1553;23629,2003;0,082789;0,09642;0,097926;0,984627
120;5;0,8;0,2;0,6838;0,1553;0,6838;0,1553;23450,1437;0,07122;0,012514;0,012514;1
120;5;0,9;0,1;0,6838;0,1553;0,6838;0,1553;23566,828;0,073695;-0,071393;-0,071393;1
120;5;1;0;0,6838;0,1553;0,6838;0,1553;23551,6509;0,086549;-0,1553;-0,1553;1
