Poolsize;Teamsize;Alpha;Beta;ES_Comp;ES_Work;Greedy_Comp;Greedy_Work;Es_Time;Greedy_time
10;5;0,0;1,0;0,7733;0,6464;0,7733;0,6464;4,857500;0,037036
10;5;0,1;0,9;0,7733;0,6464;0,7733;0,6464;0,232100;0,014605
10;5;0,2;0,8;0,7402;0,4795;0,7402;0,4795;0,124900;0,008363
10;5;0,3;0,7;0,7402;0,4795;0,7402;0,4795;0,189600;0,011499
10;5;0,4;0,6;0,7402;0,4795;0,7402;0,4795;0,099800;0,007766
10;5;0,5;0,5;0,7402;0,4795;0,7402;0,4795;0,204100;0,011281
10;5;0,6;0,4;0,7402;0,4795;0,7402;0,4795;0,202600;0,009482
10;5;0,7;0,3;0,7402;0,4795;0,7402;0,4795;0,171100;0,011550
10;5;0,8;0,2;0,7402;0,4795;0,7402;0,4795;0,144400;0,009983
10;5;0,9;0,1;0,7402;0,4795;0,7402;0,4795;0,215800;0,010070
10;5;1,0;0,0;0,7402;0,4795;0,7402;0,4795;0,129100;0,010300
20;5;0,0;1,0;0,7999;0,6464;0,7999;0,6464;6,163400;0,015472
20;5;0,1;0,9;0,7867;0,4968;0,7992;0,6340;4,681400;0,018386
20;5;0,2;0,8;0,7765;0,4136;0,7765;0,4136;4,075200;0,020419
20;5;0,3;0,7;0,7765;0,4136;0,7765;0,4136;4,640200;0,017716
20;5;0,4;0,6;0,7496;0,3661;0,7079;0,3599;2,950100;0,013389
20;5;0,5;0,5;0,7496;0,3661;0,6859;0,3393;4,616500;0,014848
20;5;0,6;0,4;0,7496;0,3661;0,6859;0,3393;4,700400;0,020911
20;5;0,7;0,3;0,7360;0,3599;0,6859;0,3393;4,252500;0,018441
20;5;0,8;0,2;0,6859;0,3393;0,6859;0,3393;3,489300;0,018373
20;5;0,9;0,1;0,6859;0,3393;0,6859;0,3393;3,651800;0,012978
20;5;1,0;0,0;0,6859;0,3393;0,6859;0,3393;2,769800;0,015732
30;5;0,0;1,0;0,8246;0,6340;0,8246;0,6340;29,220000;0,037081
30;5;0,1;0,9;0,8122;0,4136;0,8122;0,4136;30,298800;0,019653
30;5;0,2;0,8;0,8122;0,4136;0,8122;0,4136;21,440500;0,017698
30;5;0,3;0,7;0,8122;0,4136;0,7773;0,3599;24,719700;0,018616
30;5;0,4;0,6;0,7773;0,3599;0,7773;0,3599;32,899400;0,019712
30;5;0,5;0,5;0,7613;0,3393;0,7613;0,3393;29,047300;0,020134
30;5;0,6;0,4;0,7613;0,3393;0,7250;0,3367;25,284100;0,018493
30;5;0,7;0,3;0,7613;0,3393;0,6929;0,3171;21,337300;0,018434
30;5;0,8;0,2;0,6929;0,3171;0,6929;0,3171;26,631000;0,021261
30;5;0,9;0,1;0,6929;0,3171;0,6929;0,3171;21,781600;0,017787
30;5;1,0;0,0;0,6929;0,3171;0,6929;0,3171;22,941800;0,020851
40;5;0,0;1,0;0,8341;0,6340;0,8341;0,6340;101,759200;0,029382
40;5;0,1;0,9;0,8261;0,4136;0,8261;0,4136;113,168200;0,027800
40;5;0,2;0,8;0,8261;0,4136;0,8261;0,4136;103,793900;0,035068
40;5;0,3;0,7;0,8261;0,4136;0,7918;0,3393;116,069800;0,036779
40;5;0,4;0,6;0,7918;0,3393;0,7806;0,3367;121,766400;0,026226
40;5;0,5;0,5;0,7544;0,3008;0,7289;0,2941;94,430800;0,026024
40;5;0,6;0,4;0,7544;0,3008;0,7289;0,2941;89,625300;0,029495
40;5;0,7;0,3;0,7544;0,3008;0,7289;0,2941;102,304900;0,026251
40;5;0,8;0,2;0,7289;0,2941;0,7289;0,2941;96,106000;0,025519
40;5;0,9;0,1;0,7289;0,2941;0,7289;0,2941;92,892100;0,020272
40;5;1,0;0,0;0,7289;0,2941;0,7289;0,2941;86,168200;0,024434
50;5;0,0;1,0;0,8347;0,4359;0,8347;0,4359;290,149000;0,029642
50;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;261,979600;0,024430
50;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;271,848600;0,025442
50;5;0,3;0,7;0,7808;0,2941;0,7808;0,2941;273,185000;0,027973
50;5;0,4;0,6;0,7808;0,2941;0,7627;0,2776;292,399000;0,025228
50;5;0,5;0,5;0,7808;0,2941;0,7199;0,2776;270,581400;0,025698
50;5;0,6;0,4;0,7627;0,2776;0,7067;0,2658;262,644600;0,027651
50;5;0,7;0,3;0,7627;0,2776;0,7067;0,2658;275,441700;0,025632
50;5;0,8;0,2;0,7627;0,2776;0,7067;0,2658;265,017000;0,029564
50;5;0,9;0,1;0,7067;0,2658;0,7067;0,2658;268,629700;0,025114
50;5;1,0;0,0;0,7067;0,2658;0,7067;0,2658;276,755900;0,025623
60;5;0,0;1,0;0,8347;0,4359;0,8347;0,4359;672,855900;0,032354
60;5;0,1;0,9;0,8347;0,4359;0,8347;0,4359;685,704000;0,031046
60;5;0,2;0,8;0,8347;0,4359;0,8347;0,4359;674,309900;0,034360
60;5;0,3;0,7;0,7808;0,2941;0,7808;0,2941;678,468200;0,032865
60;5;0,4;0,6;0,7808;0,2941;0,7425;0,2776;681,822400;0,033203
60;5;0,5;0,5;0,7808;0,2941;0,6866;0,2025;680,527500;0,030366
60;5;0,6;0,4;0,6866;0,2025;0,6866;0,2025;670,674100;0,031454
60;5;0,7;0,3;0,6866;0,2025;0,6866;0,2025;680,258700;0,030729
60;5;0,8;0,2;0,6866;0,2025;0,6866;0,2025;664,760700;0,030393
60;5;0,9;0,1;0,6866;0,2025;0,6866;0,2025;676,014100;0,031244
