ID;Workload;PYTHON;JAVA;C_PLUS_PLUS;PROJECT_MANAGEMENT;DATA_ANALYSIS;MACHINE_LEARNING;TEAMWORK;CREATIVITY;FRONTEND_DEVELOPMENT;BACKEND_DEVELOPMENT
0;0,5288;0,4603;0,3304;0,4256;0,5696;0,6393;0,5760;0,4756;0,4677;0,5630;0,5342
1;0,5066;0,6015;0,5458;0,4466;0,5703;0,6990;0,6883;0,7941;0,5622;0,3293;0,4987
2;0,4541;0,3845;0,6604;0,7394;0,2231;0,3764;0,7488;0,4967;0,3385;0,2209;0,6275
3;0,4334;0,5586;0,6005;0,4239;0,4228;0,4193;0,3747;0,2352;0,6780;0,5171;0,7187
4;0,5855;0,6138;0,5292;0,4717;0,4847;0,4242;0,8730;0,6127;0,4706;0,7446;0,5201
5;0,4223;0,3451;0,3458;0,4429;0,3559;0,1676;0,2621;0,5116;0,7022;0,3420;0,6939
6;0,4585;0,6891;0,4338;0,6139;0,4105;0,8763;0,5789;0,4938;0,5734;0,3757;0,6729
7;0,4900;0,5435;0,4439;0,3564;0,7417;0,5747;0,6464;0,2686;0,5745;0,3582;0,4811
8;0,4684;0,5473;0,5837;0,5097;0,4996;0,2810;0,3412;0,5275;0,5505;0,2848;0,6138
9;0,3388;0,5319;0,3422;0,4852;0,4071;0,4059;0,1510;0,5612;0,5270;0,4559;0,3660
10;0,5579;0,7124;0,3805;0,6392;0,4779;0,4748;0,6912;0,3928;0,5775;0,5115;0,5466
11;0,5093;0,3629;0,5479;0,6670;0,4153;0,5465;0,4323;0,7652;0,5351;0,4136;0,4160
12;0,4169;0,4075;0,6715;0,5319;0,6359;0,3951;0,4025;0,5405;0,4949;0,5197;0,2960
13;0,4923;0,4759;0,3012;0,5414;0,6732;0,5362;0,4930;1,0000;0,5820;0,3110;0,5700
14;0,5907;0,5348;0,4895;0,4146;0,7280;0,7637;0,6026;0,4714;0,7481;0,6700;0,2354
15;0,4402;0,7507;0,4541;0,7369;0,3389;0,7019;0,3418;0,4622;0,2258;0,2867;0,4450
16;0,5106;0,7231;0,6693;0,2290;0,5090;0,2367;0,9351;0,6054;0,5744;0,5789;0,4770
17;0,5051;0,4080;0,3240;0,5287;0,3482;0,3177;0,5419;0,3649;0,4447;0,4714;0,5083
18;0,4872;0,2811;0,6252;0,2238;0,3598;0,4819;0,5648;0,5783;0,5061;0,4290;0,6235
